no change     /projects/compbio/users/xran2/miniconda3/condabin/conda
no change     /projects/compbio/users/xran2/miniconda3/bin/conda
no change     /projects/compbio/users/xran2/miniconda3/bin/conda-env
no change     /projects/compbio/users/xran2/miniconda3/bin/activate
no change     /projects/compbio/users/xran2/miniconda3/bin/deactivate
no change     /projects/compbio/users/xran2/miniconda3/etc/profile.d/conda.sh
no change     /projects/compbio/users/xran2/miniconda3/etc/fish/conf.d/conda.fish
no change     /projects/compbio/users/xran2/miniconda3/shell/condabin/Conda.psm1
no change     /projects/compbio/users/xran2/miniconda3/shell/condabin/conda-hook.ps1
no change     /projects/compbio/users/xran2/miniconda3/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /projects/compbio/users/xran2/miniconda3/etc/profile.d/conda.csh
no change     /home/xran2/.bashrc
No action taken.
Once upon a time, in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with twinkling stars. Each night, she would sprinkle the magic dust from her horn to help the stars twinkle a little brighter, lighting the way for lost travelers. As they followed the radiant path home, Luna felt the warmth of friendship fill her heart, knowing she had brought them safely back.
Mitochondrial Genome Maintenance -> Top-5 Biodomains: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Alpha-1,3-Mannosyltransferase Activity -> Top-5 Biodomains: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response
Acyl Binding -> Top-5 Biodomains: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis, Oxidative Stress
Acyl Carrier Activity -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis
Very Long-Chain Fatty Acid Metabolic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
Autophagosome Assembly -> Top-5 Biodomains: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
Peptidyltransferase Activity -> Top-5 Biodomains: Proteostasis, Autophagy, RNA Spliceosome, DNA Repair, Immune Response
Trna Binding -> Top-5 Biodomains: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis
Urea Cycle -> Top-5 Biodomains: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Citrulline Metabolic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
Argininosuccinate Metabolic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
Ribosomal Subunit Export From Nucleus -> Top-5 Biodomains: RNA Spliceosome, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
Ribosomal Large Subunit Export From Nucleus -> Top-5 Biodomains: Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
Ribosomal Small Subunit Export From Nucleus -> Top-5 Biodomains: Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
Fatty-Acyl-Coa Binding -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
L-Ornithine Transmembrane Transporter Activity -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
Mitotic Sister Chromatid Segregation -> Top-5 Biodomains: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
Dna Replication Checkpoint Signaling -> Top-5 Biodomains: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
Dna Damage Checkpoint Signaling -> Top-5 Biodomains: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Top-5 Biodomains: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress
G1/S Transition Of Mitotic Cell Cycle -> Top-5 Biodomains: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Immune Response
G2/M Transition Of Mitotic Cell Cycle -> Top-5 Biodomains: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Top-5 Biodomains: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
Sulfur Amino Acid Metabolic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
Sulfur Amino Acid Biosynthetic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
Sulfur Amino Acid Catabolic Process -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
Sulfur Amino Acid Transport -> Top-5 Biodomains: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response
Sulfate Assimilation -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
L-Histidine Biosynthetic Process -> Top-5 Biodomains: Amino Acid Metabolism, Carboxylic Acid Metabolism, Organic Acid Metabolism, Small Molecule Metabolism, Biosynthetic Process
Nucleotide-Excision Repair Complex -> Top-5 Biodomains: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
Nucleotide-Excision Repair Factor 1 Complex -> Top-5 Biodomains: DNA Repair, Autophagy, Proteostasis, Epigenetic, Immune Response
Nucleotide-Excision Repair Factor 2 Complex -> Top-5 Biodomains: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
Nucleotide-Excision Repair Factor 3 Complex -> Top-5 Biodomains: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
Histone Deacetylase Complex -> Top-5 Biodomains: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
Rna Polymerase I Transcription Regulator Complex -> Top-5 Biodomains: RNA Spliceosome, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
Glycerol-1-Phosphatase Activity -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
Negative Regulation Of Transcription By Rna Polymerase Ii -> Top-5 Biodomains: Gene Expression, Regulation of Metabolic Process, Regulation of Cellular Process, Regulation of Biological Process, Biological Regulation
Histone Acetyltransferase Complex -> Top-5 Biodomains: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
Saga Complex -> Top-5 Biodomains: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair
Transcription Factor Tfiiib Complex -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
Transcription Factor Tfiiic Complex -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
Establishment Of Mitotic Spindle Orientation -> Top-5 Biodomains: Cell Cycle, Cytoskeleton Organization, Microtubule-Based Process, Organelle Organization, Cellular Component Organization
Golgi Cis Cisterna -> Top-5 Biodomains: Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
Golgi Trans Cisterna -> Top-5 Biodomains: Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
Golgi Membrane -> Top-5 Biodomains: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Top-5 Biodomains: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
Exocyst -> Top-5 Biodomains: Vasculature, Proteostasis, Autophagy, Immune Response, Structural Stabilization
Microfilament Motor Activity -> Top-5 Biodomains: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Immune Response
Snare Binding -> Top-5 Biodomains: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
Dna Strand Exchange Activity -> Top-5 Biodomains: DNA Repair, Autophagy, Proteostasis, Oxidative Stress, Epigenetic
Ubiquitin Ligase Complex -> Top-5 Biodomains: Proteostasis, Autophagy, Apoptosis, DNA Repair, Oxidative Stress
Nuclear Ubiquitin Ligase Complex -> Top-5 Biodomains: Proteostasis, Autophagy, DNA Repair, Immune Response, Apoptosis
Rrna Modification -> Top-5 Biodomains: RNA Spliceosome, Gene Expression, Macromolecule Biosynthetic Process, RNA Processing, Ribosome Biogenesis
Protein Phosphatase Type 2A Complex -> Top-5 Biodomains: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Mitochondrial Metabolism
Protein Phosphatase Type 1 Complex -> Top-5 Biodomains: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
Mapk Cascade -> Top-5 Biodomains: Cell Cycle, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
Nucleotide Binding -> Top-5 Biodomains: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Ribonuclease Mrp Activity -> Top-5 Biodomains: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Oxidative Stress
Ribonuclease Mrp Complex -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Oxidative Stress
3'-5'-Rna Exonuclease Activity -> Top-5 Biodomains: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Oxidative Stress
Nuclear Exosome (Rnase Complex) -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Immune Response
Cytoplasmic Exosome (Rnase Complex) -> Top-5 Biodomains: Proteostasis, Autophagy, RNA Spliceosome, DNA Repair, Immune Response
Exosome (Rnase Complex) -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Immune Response
Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress
Rdna Binding -> Top-5 Biodomains: DNA Repair, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis
Rdna Heterochromatin Formation -> Top-5 Biodomains: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Top-5 Biodomains: RNA Spliceosome, RNA Metabolic Process, Nucleic Acid Metabolic Process, Macromolecule Metabolic Process, Biological Process
Protein Polyubiquitination -> Top-5 Biodomains: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism
Nad+ Diphosphatase Activity -> Top-5 Biodomains: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Meiotic Spindle Organization -> Top-5 Biodomains: Cell Cycle, Meiotic Cell Cycle, Reproductive Process, Cytoskeleton Organization, Cellular Component Organization
Trna-Intron Lyase Activity -> Top-5 Biodomains: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Epigenetic
Trna-Intron Endonuclease Complex -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Immune Response
Trna 2'-Phosphotransferase Activity -> Top-5 Biodomains: RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
Dna Secondary Structure Binding -> Top-5 Biodomains: DNA Repair, Epigenetic, Autophagy, Proteostasis, Oxidative Stress
Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Top-5 Biodomains: Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome, Proteostasis
Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Top-5 Biodomains: Vasculature, Autophagy, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Top-5 Biodomains: Proteostasis, Autophagy, Lipid Metabolism, Immune Response, DNA Repair
N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Top-5 Biodomains: Lipid Metabolism, Autophagy, Structural Stabilization, Proteostasis, Immune Response
Microtubule Cytoskeleton Organization -> Top-5 Biodomains: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response
Nuclear Chromosome -> Top-5 Biodomains: Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
Astral Microtubule -> Top-5 Biodomains: Cytoskeleton, Microtubule Cytoskeleton, Intracellular Organelle, Membraneless Organelle, Cellular Anatomical Structure
Pericentriolar Material -> Top-5 Biodomains: Cytoskeleton, Microtubule Organizing Center, Intracellular Organelle, Cellular Anatomical Structure, Membraneless Organelle
Commitment Complex -> Top-5 Biodomains: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response
Spliceosomal Tri-Snrnp Complex Assembly -> Top-5 Biodomains: RNA Spliceosome, Gene Expression, RNA Processing, Nucleic Acid Metabolic Process, Cellular Process
Spliceosomal Complex Assembly -> Top-5 Biodomains: RNA Spliceosome, Gene Expression, RNA Processing, Nucleic Acid Metabolic Process, Macromolecule Biosynthetic Process
