In a magical forest, a lonely unicorn named Luna discovered a hidden glade filled with twinkling stars. Every night, she danced under the shimmering lights, spreading joy and laughter to all the creatures around her. One evening, as she twirled, she made a wish for friends, and to her delight, a troupe of playful fairies appeared, ready to join her enchanting adventures.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
Pathway: Golgi Trans Cisterna -> Biodomain: Unknown, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy

Pathway: Golgi Membrane -> Biodomain: Unknown, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Exocyst -> Biodomain: Unknown, Proteostasis, Autophagy, Synapse, Structural Stabilization

Pathway: Microfilament Motor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Snare Binding -> Biodomain: Synapse, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Autophagy, Proteostasis, Oxidative Stress, Unknown

Pathway: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Unknown

Pathway: Rrna Modification -> Biodomain: Unknown, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy

Pathway: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Unknown

Pathway: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Cell Cycle

Pathway: Mapk Cascade -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle

Pathway: Nucleotide Binding -> Biodomain: Unknown, Metal Binding and Homeostasis, RNA Spliceosome, Apoptosis, Proteostasis

Pathway: Ribonuclease Mrp Activity -> Biodomain: Unknown, RNA Spliceosome, Apoptosis, Proteostasis, Autophagy

Pathway: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle, Proteostasis

Pathway: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Unknown

Pathway: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Exosome (Rnase Complex) -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Rdna Binding -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy

Pathway: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Unknown

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Unknown

Pathway: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Metal Binding and Homeostasis

Pathway: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Unknown

Pathway: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Unknown

Pathway: Trna-Intron Endonuclease Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Endolysosome

Pathway: Trna 2'-Phosphotransferase Activity -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Dna Secondary Structure Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress

Pathway: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Unknown

Pathway: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Unknown

Pathway: Microtubule Cytoskeleton Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Unknown

Pathway: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Unknown

Pathway: Astral Microtubule -> Biodomain: Unknown, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis

Pathway: Pericentriolar Material -> Biodomain: Unknown, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle

Pathway: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Apoptosis, Cell Cycle

Pathway: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Unknown

Pathway: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: Allantoin Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: Allantoin Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis

Pathway: Peroxisome Targeting Sequence Binding -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Polysaccharide Biosynthetic Process -> Biodomain: Unknown, Lipid Metabolism, Autophagy, Immune Response, Structural Stabilization

Pathway: Polysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Unknown

Pathway: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Unknown

Pathway: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Unknown, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Epigenetic

Pathway: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, DNA Repair

Pathway: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Unknown, Oxidative Stress

Pathway: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy

Pathway: Spermine Transport -> Biodomain: Unknown, Metal Binding and Homeostasis, Autophagy, Oxidative Stress, Proteostasis

Pathway: Endopolyphosphatase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress

Pathway: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Unknown, Proteostasis, Autophagy, Structural Stabilization, Endolysosome

Pathway: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Immune Response

Pathway: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy

Pathway: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism

Pathway: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Unknown, Oxidative Stress

Pathway: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress, Unknown

Pathway: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Autophagy, Lipid Metabolism

Pathway: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Unknown

Pathway: Storage Vacuole -> Biodomain: Unknown, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis

Pathway: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: Unknown, DNA Repair, RNA Spliceosome, Autophagy, Proteostasis

Pathway: Telomerase Catalytic Core Complex -> Biodomain: Unknown, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism, Metal Binding and Homeostasis

Pathway: Protein Deneddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Unknown, Structural Stabilization

Pathway: Rna Cap Binding -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair

Pathway: Rna 7-Methylguanosine Cap Binding -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Rna Trimethylguanosine Cap Binding -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Autophagy, Proteostasis

Pathway: Transcription Export Complex -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Epigenetic

Pathway: Tho Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Cell Cycle, Unknown

Pathway: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Cell Cycle, Epigenetic

Pathway: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Unknown

Pathway: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Unknown

Pathway: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, DNA Repair

Pathway: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Cell Cycle

Pathway: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Epigenetic

Pathway: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown

Pathway: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Unknown

Pathway: Four-Way Junction Dna Binding -> Biodomain: Unknown, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Y-Form Dna Binding -> Biodomain: Unknown, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Heteroduplex Dna Loop Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Proteostasis

Pathway: Bubble Dna Binding -> Biodomain: Unknown, DNA Repair, Proteostasis, Apoptosis, Autophagy

Pathway: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Unknown

Pathway: Ekc/Keops Complex -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis

Pathway: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Hir Complex -> Biodomain: Unknown, Proteostasis, Epigenetic, DNA Repair, Autophagy

Pathway: Autophagosome Membrane -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Autophagy Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Pexophagy -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Dna-Directed Rna Polymerase Complex -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis

Pathway: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: Unknown, Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair

Pathway: Transcription Factor Tfiih Core Complex -> Biodomain: Unknown, DNA Repair, Proteostasis, Apoptosis, Epigenetic

Pathway: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Unknown, Structural Stabilization

Pathway: Tho Complex Part Of Transcription Export Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair

Pathway: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, DNA Repair

Pathway: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, DNA Repair

Pathway: Rrna 2'-O-Methylation -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle

Pathway: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Cell Cycle

Pathway: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Apoptosis, Cell Cycle

Pathway: Maturation Of 5.8S Rrna -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Autophagy, Epigenetic

Pathway: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, DNA Repair

Pathway: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Apoptosis, Cell Cycle

Pathway: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Epigenetic

Pathway: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Autophagy, Epigenetic

