Once upon a time, in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with twinkling fireflies. Every night, she danced under the stars, her mane glowing like the moon, spreading joy to all the woodland creatures. One magical evening, Luna’s sparkle illuminated the path for a lost star, guiding it back home, and in return, the star promised to watch over her dreams forever.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
Pathway: Ribosomal Small Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response

Pathway: Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, DNA Repair

Pathway: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response

Pathway: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, DNA Repair

Pathway: Sulfur Amino Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Sulfur Amino Acid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Metal Binding and Homeostasis

Pathway: Sulfur Amino Acid Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Sulfate Assimilation -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis

Pathway: L-Histidine Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy

Pathway: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Autophagy, Epigenetic, Cell Cycle, Proteostasis

Pathway: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis

Pathway: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Autophagy, Proteostasis, Oxidative Stress, Epigenetic

Pathway: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Histone Deacetylase Complex -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Immune Response

Pathway: Rna Polymerase I Transcription Regulator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: 1. Epigenetic, 2. RNA Spliceosome, 3. Cell Cycle, 4. Immune Response, 5. Apoptosis

Pathway: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, DNA Repair

Pathway: Saga Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle

Pathway: Transcription Factor Tfiiib Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Transcription Factor Tfiiic Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Apoptosis, Structural Stabilization

Pathway: Golgi Cis Cisterna -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Immune Response, DNA Repair

Pathway: Golgi Trans Cisterna -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism, Immune Response

Pathway: Golgi Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy, Proteostasis

Pathway: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Exocyst -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Structural Stabilization

Pathway: Microfilament Motor Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Snare Binding -> Biodomain: Synapse, Exocytosis, Proteostasis, Immune Response, Apoptosis

Pathway: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Autophagy, Epigenetic, Cell Cycle, Immune Response

Pathway: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair

Pathway: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Autophagy, Immune Response

Pathway: Rrna Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, RNA Spliceosome

Pathway: Mapk Cascade -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Nucleotide Binding -> Biodomain: 1. RNA Spliceosome, 2. DNA Repair, 3. Autophagy, 4. Immune Response, 5. Epigenetic

Pathway: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Epigenetic

Pathway: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle, DNA Repair

Pathway: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Immune Response, Proteostasis

Pathway: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Rdna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, DNA Repair

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, DNA Repair

Pathway: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, DNA Repair

Pathway: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Epigenetic

Pathway: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Vacuolar Proton-Transporting V-Type ATPase, V0 Domain, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Vesicular Transport, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis

Pathway: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Immune Response

Pathway: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Autophagy, Structural Stabilization, Immune Response

Pathway: Microtubule Cytoskeleton Organization -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, Structural Stabilization

Pathway: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Pericentriolar Material -> Biodomain: 1. Structural Stabilization, 2. Cell Cycle, 3. Autophagy, 4. Immune Response, 5. Mitochondrial Metabolism

Pathway: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Immune Response

Pathway: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

