Once upon a time in a glittering forest, a curious unicorn named Luna discovered a hidden glade filled with glowing flowers. Each night, the flowers whispered secrets of joy and laughter, making Luna's heart sparkle with happiness. With a gentle flick of her tail, she spread the magic of the glade across the land, bringing sweet dreams to all who slept under the stars.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Pathway: Sulfur Amino Acid Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Sulfate Assimilation -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy

Pathway: L-Histidine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Cell Cycle

Pathway: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Cell Cycle

Pathway: Histone Deacetylase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Rna Polymerase I Transcription Regulator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Immune Response, Apoptosis

Pathway: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Cell Cycle

Pathway: Saga Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair

Pathway: Transcription Factor Tfiiib Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Transcription Factor Tfiiic Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy

Pathway: Golgi Cis Cisterna -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Immune Response

Pathway: Golgi Trans Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, DNA Repair, Immune Response

Pathway: Golgi Membrane -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response

Pathway: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Exocyst -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization

Pathway: Microfilament Motor Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Snare Binding -> Biodomain: Synapse, Autophagy, Structural Stabilization, Immune Response, Mitochondrial Metabolism

Pathway: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Autophagy, Epigenetic, Cell Cycle, Proteostasis

Pathway: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Autophagy

Pathway: Rrna Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Mapk Cascade -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Nucleotide Binding -> Biodomain: RNA Spliceosome, DNA Repair, Autophagy, Proteostasis, Oxidative Stress

Pathway: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle, DNA Repair

Pathway: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, DNA Repair, Apoptosis, Proteostasis, Autophagy

Pathway: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair

Pathway: Rdna Binding -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Apoptosis, Immune Response

Pathway: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, DNA Repair

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Immune Response

Pathway: Protein Polyubiquitination -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, DNA Repair

Pathway: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, DNA Repair

Pathway: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Epigenetic

Pathway: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Immune Response

Pathway: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Autophagy

Pathway: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, DNA Repair

Pathway: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Microtubule Cytoskeleton Organization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response

Pathway: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Pericentriolar Material -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Immune Response

Pathway: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Metal Binding and Homeostasis

Pathway: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: Allantoin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Cell Cycle

Pathway: Peroxisome Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Polysaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Immune Response, Structural Stabilization

Pathway: Polysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, DNA Repair

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Epigenetic

Pathway: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis

Pathway: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Spermine Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis

Pathway: Endopolyphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis

Pathway: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome

Pathway: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy

Pathway: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Autophagy

Pathway: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism

Pathway: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress

Pathway: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair

Pathway: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, DNA Repair

Pathway: Storage Vacuole -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress

Pathway: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Autophagy, Proteostasis

Pathway: Telomerase Catalytic Core Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis

Pathway: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Protein Deneddylation -> Biodomain: Proteostasis, Autophagy, DNA Repair, Apoptosis, Oxidative Stress

Pathway: Rna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Cell Cycle

Pathway: Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Immune Response

Pathway: Tho Complex -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Epigenetic

Pathway: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Cell Cycle

Pathway: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, DNA Repair

Pathway: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Autophagy, Epigenetic, Cell Cycle, Proteostasis

Pathway: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Oxidative Stress

Pathway: Y-Form Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Oxidative Stress

Pathway: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy

Pathway: Bubble Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Oxidative Stress

Pathway: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Ekc/Keops Complex -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, DNA Repair, Epigenetic

Pathway: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Hir Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Autophagosome Membrane -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism

Pathway: Autophagy Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Pexophagy -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Dna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Apoptosis, Immune Response

Pathway: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Metabolic Regulation, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response

Pathway: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Transcription Factor Tfiih Core Complex -> Biodomain: DNA Repair, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair

Pathway: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Epigenetic

Pathway: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy

Pathway: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair

Pathway: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis

