Once upon a time, a gentle unicorn named Luna roamed a sparkling meadow filled with flowers that glowed at night. One evening, she discovered a sad little star that had fallen from the sky, and with a twinkle of her horn, she lifted it back into the heavens. From that day on, every night the star would shine brighter, guiding Luna home as they became the best of friends.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Proteostasis
Pathway: Sulfur Amino Acid Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress

Pathway: Sulfate Assimilation -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism

Pathway: L-Histidine Biosynthetic Process -> Biodomain: Amino Acid Metabolism, Protein Synthesis, Metabolic Pathways, Cellular Metabolism, Biosynthetic Processes

Pathway: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Autophagy, Proteostasis, Epigenetic, Oxidative Stress

Pathway: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Autophagy

Pathway: Histone Deacetylase Complex -> Biodomain: Epigenetic, DNA Repair, Autophagy, Cell Cycle, Proteostasis

Pathway: Rna Polymerase I Transcription Regulator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair

Pathway: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Immune Response, Apoptosis

Pathway: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, DNA Repair

Pathway: Saga Complex -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic, Cell Cycle

Pathway: Transcription Factor Tfiiib Complex -> Biodomain: Transcription Factor Tfiiib Complex, RNA Spliceosome, Proteostasis, Immune Response, Apoptosis

Pathway: Transcription Factor Tfiiic Complex -> Biodomain: RNA Spliceosome, Epigenetic, Transcription Factor, Cell Cycle, Proteostasis

Pathway: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, Structural Stabilization

Pathway: Golgi Cis Cisterna -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism, Lipid Metabolism

Pathway: Golgi Trans Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome

Pathway: Golgi Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization

Pathway: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis

Pathway: Exocyst -> Biodomain: Cell Cycle, Autophagy, Synapse, Proteostasis, Mitochondrial Metabolism

Pathway: Microfilament Motor Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Immune Response, Apoptosis

Pathway: Snare Binding -> Biodomain: Synapse, Autophagy, Proteostasis, Exocytosis, Immune Response

Pathway: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Autophagy, Proteostasis, Epigenetic, Oxidative Stress

Pathway: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Immune Response, Autophagy

Pathway: Rrna Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, DNA Repair, Autophagy

Pathway: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Epigenetic

Pathway: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Endolysosome, Tau Homeostasis

Pathway: Mapk Cascade -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis

Pathway: Nucleotide Binding -> Biodomain: Nucleotide Binding, Apoptosis, Metabolism, DNA Repair, RNA Spliceosome

Pathway: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Endolysosome

Pathway: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Autophagy, DNA Repair

Pathway: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Apoptosis, DNA Repair, Autophagy, Immune Response

Pathway: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Immune Response

Pathway: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Epigenetic, Proteostasis

Pathway: Rdna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic, DNA Repair

Pathway: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair, Epigenetic

Pathway: Protein Polyubiquitination -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, DNA Repair

Pathway: Nad+ Diphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, APP Metabolism, DNA Repair

Pathway: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis, DNA Repair

Pathway: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Epigenetic

Pathway: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Apoptosis, Autophagy, Proteostasis, DNA Repair

Pathway: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism

Pathway: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Apoptosis

Pathway: Microtubule Cytoskeleton Organization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response

Pathway: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis

Pathway: Astral Microtubule -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Pericentriolar Material -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Epigenetic

Pathway: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Unknown, Immune Response

Pathway: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Mitochondrial Metabolism, Cell Cycle

Pathway: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis

Pathway: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis

Pathway: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: Allantoin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, DNA Repair

Pathway: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis

Pathway: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Cell Cycle

Pathway: Peroxisome Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Structural Stabilization

Pathway: Polysaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Structural Stabilization, Immune Response, Oxidative Stress

Pathway: Polysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress

Pathway: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Immune Response

Pathway: Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism

Pathway: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, DNA Repair

Pathway: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization

Pathway: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Immune Response

Pathway: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Apoptosis, Proteostasis

Pathway: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Spermine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Endopolyphosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Autophagy, Lipid Metabolism, Oxidative Stress, Immune Response

Pathway: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism, RNA Spliceosome

Pathway: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis

Pathway: Response To Superoxide -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome

Pathway: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism

Pathway: Storage Vacuole -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism, Autophagy

Pathway: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: DNA Repair, RNA Spliceosome, Autophagy, Epigenetic, Proteostasis

Pathway: Telomerase Catalytic Core Complex -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Telomerase

Pathway: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, APP Metabolism

Pathway: Protein Deneddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Metal Binding and Homeostasis

Pathway: Rna Cap Binding -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Immune Response, Epigenetic

Pathway: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization

Pathway: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Autophagy, Epigenetic, DNA Repair, Immune Response

Pathway: Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle

Pathway: Tho Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair

Pathway: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy

Pathway: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Structural Stabilization

Pathway: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic, Cell Cycle

Pathway: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Apoptosis, Immune Response

Pathway: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, DNA Repair

Pathway: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, DNA Repair

Pathway: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Cell Cycle

Pathway: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Immune Response

Pathway: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Apoptosis, DNA Repair

Pathway: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Apoptosis, Cell Cycle, Proteostasis, DNA Repair

Pathway: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Autophagy

Pathway: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism

Pathway: Y-Form Dna Binding -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, RNA Spliceosome, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Bubble Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, RNA Spliceosome

Pathway: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response

Pathway: Ekc/Keops Complex -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, DNA Repair, Epigenetic

Pathway: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Hir Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy

Pathway: Autophagosome Membrane -> Biodomain: Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis

Pathway: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Pexophagy -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Dna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism

Pathway: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, DNA Repair, Epigenetic

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle, Epigenetic

Pathway: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Autophagy, Proteostasis

Pathway: Transcription Factor Tfiih Core Complex -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis, Unknown

Pathway: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair

Pathway: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Immune Response, Apoptosis

Pathway: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis

Pathway: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Cell Cycle, Endolysosome

Pathway: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy

Pathway: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Immune Response, Oxidative Stress

Pathway: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair

