Once upon a time in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with sparkling stardust. Each night, she sprinkled the stardust over her friends, making their dreams come true as they peacefully slept under the twinkling sky. As the moonlight danced on their fur, Luna whispered, “May your dreams light up the world, just as you light up my heart.”
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Pathway: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Sulfur Amino Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis

Pathway: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism

Pathway: Sulfur Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Sulfur Amino Acid Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: Sulfate Assimilation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy

Pathway: L-Histidine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Immune Response

Pathway: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Epigenetic

Pathway: Histone Deacetylase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Rna Polymerase I Transcription Regulator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair

Pathway: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Immune Response

Pathway: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Saga Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy

Pathway: Transcription Factor Tfiiib Complex -> Biodomain: Transcription Factor Tfiiib Complex, RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis

Pathway: Transcription Factor Tfiiic Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism, DNA Repair

Pathway: Golgi Cis Cisterna -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: Golgi Trans Cisterna -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Immune Response

Pathway: Golgi Membrane -> Biodomain: Endolysosome, Structural Stabilization, Lipid Metabolism, Proteostasis, Apoptosis

Pathway: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Exocyst -> Biodomain: Synapse, Autophagy, Structural Stabilization, Immune Response, Mitochondrial Metabolism

Pathway: Microfilament Motor Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy, Cell Cycle

Pathway: Snare Binding -> Biodomain: Synapse, Exocytosis, Mitochondrial Metabolism, Proteostasis, Immune Response

Pathway: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis

Pathway: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Autophagy

Pathway: Rrna Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Mapk Cascade -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Nucleotide Binding -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Apoptosis, DNA Repair

Pathway: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle, DNA Repair

Pathway: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Apoptosis, Autophagy, DNA Repair, Proteostasis

Pathway: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Immune Response, Proteostasis

Pathway: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Autophagy, DNA Repair

Pathway: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Rdna Binding -> Biodomain: RNA Spliceosome, Apoptosis, Cell Cycle, Proteostasis, Epigenetic

Pathway: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Immune Response

Pathway: Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Immune Response

Pathway: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, Immune Response

Pathway: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic, DNA Repair

Pathway: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Epigenetic

Pathway: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Immune Response

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism

Pathway: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Autophagy, Proteostasis, Structural Stabilization

Pathway: Microtubule Cytoskeleton Organization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism

Pathway: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Astral Microtubule -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Immune Response

Pathway: Pericentriolar Material -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Cell Cycle

Pathway: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy

Pathway: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Epigenetic

Pathway: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Delta24(24-1) Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-8 Sterol Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis

Pathway: C-5 Sterol Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis

Pathway: Lanosterol Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Tau Homeostasis, Apoptosis

Pathway: 3-Beta-Hydroxysteroid Dehydrogenase [Nad(P)+]/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis

Pathway: 3-Beta-Hydroxysteroid 3-Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: C-4 Methylsterol Oxidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Allantoin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Allantoin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, DNA Repair

Pathway: Mitochondrial Chromosome -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Cell Cycle

Pathway: Peroxisome Targeting Sequence Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Polysaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Immune Response, Structural Stabilization

Pathway: Polysaccharide Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Immune Response

Pathway: Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, DNA Repair

Pathway: Nuclear Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: Mitotic Cytokinesis -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Structural Stabilization

Pathway: 1-Phosphatidylinositol-3-Phosphate 5-Kinase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Magnesium Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Deadenylation-Dependent Decay -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Epigenetic, Cell Cycle

Pathway: Nuclear-Transcribed Mrna Poly(A) Tail Shortening -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Epigenetic

Pathway: Deadenylation-Dependent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis

Pathway: Rna Fragment Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Adenine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Spermine Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism

Pathway: Endopolyphosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress

Pathway: Retrograde Transport, Vesicle Recycling Within Golgi -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse

Pathway: Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Immune Response

Pathway: Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy

Pathway: Response To Singlet Oxygen -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Apoptosis, Proteostasis

Pathway: Response To Oxygen Radical -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy

Pathway: Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair

Pathway: Cytoplasmic Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress, Immune Response

Pathway: Nicotinamide-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Re-Entry Into Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, DNA Repair

Pathway: Storage Vacuole -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress

Pathway: Lytic Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Template For Synthesis Of G-Rich Strand Of Telomere Dna Activity -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Autophagy, Cell Cycle

Pathway: Telomerase Catalytic Core Complex -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis, Cell Cycle

Pathway: 3-Hydroxyanthranilate 3,4-Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Protein Deneddylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, DNA Repair

Pathway: Rna Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Rna 7-Methylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Rna Trimethylguanosine Cap Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Transcription Export Complex -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Tho Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis

Pathway: Mrna Branch Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy

Pathway: Generation Of Catalytic Spliceosome For First Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Generation Of Catalytic Spliceosome For Second Transesterification Step -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair

Pathway: Formation Of Quadruple Sl/U4/U5/U6 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: Cis Assembly Of Pre-Catalytic Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy

Pathway: Rna Splicing, Via Transesterification Reactions -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Trna-Type Intron Splice Site Recognition And Cleavage -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy

Pathway: Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Regulation Of Alternative Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle

Pathway: Second Spliceosomal Transesterification Activity -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Immune Response, Epigenetic

Pathway: Spliceosomal Snrnp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosome Conformational Change To Release U4 (Or U4Atac) And U1 (Or U11) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Mrna 3'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Immune Response

Pathway: Spliceosomal Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Mrna 5'-Splice Site Recognition -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy

Pathway: Four-Way Junction Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Oxidative Stress

Pathway: Y-Form Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Oxidative Stress

Pathway: Heteroduplex Dna Loop Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis

Pathway: Bubble Dna Binding -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, RNA Spliceosome

Pathway: Phagophore Assembly Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Immune Response

Pathway: Ekc/Keops Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Protein Peptidyl-Prolyl Isomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Metal Binding and Homeostasis

Pathway: Hir Complex -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Cell Cycle

Pathway: Autophagosome Membrane -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism

Pathway: Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Pexophagy -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, DNA Repair

Pathway: Dna-Directed Rna Polymerase Complex -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Glucose -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism

Pathway: Positive Regulation Of Transcription From Rna Polymerase Ii Promoter By Galactose -> Biodomain: Proteostasis, Immune Response, Epigenetic, Autophagy, Lipid Metabolism

Pathway: Core Tfiih Complex Portion Of Holo Tfiih Complex -> Biodomain: Unknown, Apoptosis, DNA Repair, RNA Spliceosome, Proteostasis

Pathway: Transcription Factor Tfiih Core Complex -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Autophagy

Pathway: Mis12/Mind Type Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis

Pathway: Tho Complex Part Of Transcription Export Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: Endonucleolytic Cleavage In Its1 To Separate Ssu-Rrna From 5.8S Rrna And Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis

Pathway: Cleavage In Its2 Between 5.8S Rrna And Lsu-Rrna Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Rrna 2'-O-Methylation -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: Snorna Guided Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle

Pathway: Enzyme-Directed Rrna Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Maturation Of 5.8S Rrna -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Endonucleolytic Cleavage To Generate Mature 3'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Autophagy, Epigenetic

