In a shimmering forest, there lived a gentle unicorn named Luna who could paint the sky with her vibrant, shimmering mane. One night, she used her magic to spread sparkles across the stars, granting sweet dreams to all the sleeping creatures below. As they dreamt of adventures together, Luna knew that her light would forever guide them through the night.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
Pathway: Ribosomal Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Ribosomal Large Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Ribosomal Small Subunit Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Epigenetic

Pathway: Fatty-Acyl-Coa Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: L-Ornithine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis, RNA Spliceosome

Pathway: Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Oxidative Stress

Pathway: Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress

Pathway: G2/M Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: S-Adenosyl-L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair, Oxidative Stress

Pathway: Sulfur Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Sulfur Amino Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Sulfur Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Sulfur Amino Acid Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Sulfate Assimilation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis

Pathway: L-Histidine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response

Pathway: Nucleotide-Excision Repair Complex -> Biodomain: DNA Repair, Autophagy, Proteostasis, Epigenetic, Immune Response

Pathway: Nucleotide-Excision Repair Factor 1 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Nucleotide-Excision Repair Factor 2 Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle

Pathway: Nucleotide-Excision Repair Factor 3 Complex -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Cell Cycle

Pathway: Histone Deacetylase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy

Pathway: Rna Polymerase I Transcription Regulator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Glycerol-1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Negative Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Proteostasis, Apoptosis

Pathway: Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle

Pathway: Saga Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair

Pathway: Transcription Factor Tfiiib Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Transcription Factor Tfiiic Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Establishment Of Mitotic Spindle Orientation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Mitochondrial Metabolism, Structural Stabilization

Pathway: Golgi Cis Cisterna -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis

Pathway: Golgi Trans Cisterna -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Immune Response

Pathway: Golgi Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis, Immune Response

Pathway: Acylglycerone-Phosphate Reductase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy

Pathway: Exocyst -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism

Pathway: Microfilament Motor Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Snare Binding -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Dna Strand Exchange Activity -> Biodomain: DNA Repair, Autophagy, Epigenetic, Cell Cycle, Proteostasis

Pathway: Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Nuclear Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Autophagy, Immune Response

Pathway: Rrna Modification -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Proteostasis, DNA Repair

Pathway: Protein Phosphatase Type 2A Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Autophagy

Pathway: Protein Phosphatase Type 1 Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, DNA Repair

Pathway: Mapk Cascade -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Nucleotide Binding -> Biodomain: Metal Binding and Homeostasis, RNA Spliceosome, DNA Repair, Autophagy, Proteostasis

Pathway: Ribonuclease Mrp Activity -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Ribonuclease Mrp Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle, DNA Repair

Pathway: 3'-5'-Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Nuclear Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Cytoplasmic Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Immune Response

Pathway: Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Rrna (Adenine-N6,N6-)-Dimethyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Rdna Binding -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Apoptosis, Immune Response

Pathway: Rdna Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Immune Response

Pathway: Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Autophagy

Pathway: Protein Polyubiquitination -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, DNA Repair

Pathway: Nad+ Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair

Pathway: Meiotic Spindle Organization -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism, DNA Repair

Pathway: Trna-Intron Lyase Activity -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Epigenetic

Pathway: Trna-Intron Endonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress

Pathway: Trna 2'-Phosphotransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress

Pathway: Dna Secondary Structure Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V0 Domain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome

Pathway: Vacuolar Proton-Transporting V-Type Atpase, V1 Domain -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Peptide-N4-(N-Acetyl-Beta-Glucosaminyl)Asparagine Amidase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism

Pathway: N-Acetylglucosaminylphosphatidylinositol Deacetylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization

Pathway: Microtubule Cytoskeleton Organization -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Immune Response

Pathway: Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy

Pathway: Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Pericentriolar Material -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy

Pathway: Commitment Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: Spliceosomal Tri-Snrnp Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Apoptosis, Immune Response

Pathway: Spliceosomal Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

