node,nodeID,root node,root node ID,biodomain,Source
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,GO:0140131,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process",D154
GOBP_FACULTATIVE_HETEROCHROMATIN_FORMATION,GO:0140718,biological_process,GO:0008150,"Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Structural Stabilization",D154
GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE,GO:0150077,biological_process,GO:0008150,"Immune System and Inflammation, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus, System and Developmental Process",D154
GOBP_CELL_CELL_JUNCTION_DISASSEMBLY,GO:0150147,biological_process,GO:0008150,"Cell Adhesion and Interaction, Structural Stabilization, System and Developmental Process, Response to Stimulus, Signal Transduction",D154
GOBP_REGULATION_OF_DOSAGE_COMPENSATION_BY_INACTIVATION_OF_X_CHROMOSOME,,,,"Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, Molecular Transport and Homeostasis, Signal Transduction",D154
GOBP_NEGATIVE_REGULATION_OF_AUTOPHAGOSOME_MATURATION,GO:1901097,biological_process,GO:0008150,"Autophagy, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus",D154
GOBP_ETHER_BIOSYNTHETIC_PROCESS,GO:1901503,,,"Lipid Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, System and Developmental Process",D154
GOBP_REGULATION_OF_ENDOTHELIAL_TUBE_MORPHOGENESIS,GO:1901509,biological_process,GO:0008150,"System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus",D154
GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS,,,,"Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Response to Stimulus, System and Developmental Process",D154
GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS,,,,"Lipid Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, RNA Metabolism, Signal Transduction",D154
GOBP_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING,,,,"System and Developmental Process, Signal Transduction, Neurodevelopment and Neuronal Differentiation, Transcription and Translation Machinery, Response to Stimulus",D154
GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,GO:1901623,biological_process,GO:0008150,"Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis",D154
GOBP_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORT,GO:1901642,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, System and Developmental Process, Signal Transduction",D154
GOBP_RESPONSE_TO_KETONE,GO:1901654,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Response to Stimulus, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,GO:1901724,biological_process,GO:0008150,"Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Response to Stimulus",D154
GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION,GO:1901844,biological_process,GO:0008150,"Signal Transduction, Cell Adhesion and Interaction, Molecular Transport and Homeostasis, Response to Stimulus, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPIRATION,GO:1901857,biological_process,GO:0008150,"Mitochondrial Function and Metabolism, Signal Transduction, Metabolic Process, System and Developmental Process, Response to Stimulus",D154
GOBP_REGULATION_OF_ATPASE_COUPLED_CALCIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:1901894,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Signal Transduction, Neurotransmission and Synaptic Regulation, Response to Stimulus",D154
GOBP_REGULATION_OF_HEMATOPOIETIC_STEM_CELL_PROLIFERATION,GO:1902033,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Signal Transduction, Immune System and Inflammation, Response to Stimulus",D154
GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION,GO:1902275,biological_process,GO:0008150,"Epigenetic Regulation, Transcription and Translation Machinery, System and Developmental Process, DNA Repair, Signal Transduction",D154
GOBP_NEGATIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS,,,,"RNA Metabolism, Transcription and Translation Machinery, Signal Transduction, Epigenetic Regulation, System and Developmental Process",D154
GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION,GO:1902731,biological_process,GO:0008150,"Cell Cycle, System and Developmental Process, Signal Transduction, Structural Stabilization, Neurodevelopment and Neuronal Differentiation",D154
GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS,GO:1902930,,,"Lipid Metabolism, Signal Transduction, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Response to Stimulus",D154
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,GO:1903034,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction",D154
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,GO:1903035,,,"Response to Stimulus, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Structural Stabilization",D154
GOBP_REGULATION_OF_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,,,,"Apoptosis, Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process",D154
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS,,,,"Lipid Metabolism, Structural Stabilization, System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus",D154
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM,GO:1903564,biological_process,GO:0008150,"Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Signal Transduction, Structural Stabilization, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM,GO:1903566,biological_process,GO:0008150,"Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Structural Stabilization, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,GO:1903589,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction",D154
GOBP_REGULATION_OF_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY,,,,"Signal Transduction, Protein Metabolism and Trafficking, Response to Stimulus, Epigenetic Regulation, Molecular Transport and Homeostasis",D154
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS,GO:1903727,,,"Lipid Metabolism, Signal Transduction, System and Developmental Process, Structural Stabilization, Molecular Transport and Homeostasis",D154
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,GO:1904407,biological_process,GO:0008150,"Signal Transduction, Immune System and Inflammation, Molecular Transport and Homeostasis, Response to Stimulus, Mitochondrial Function and Metabolism",D154
GOBP_REGULATION_OF_XENOPHAGY,GO:1904415,biological_process,GO:0008150,"Autophagy, Signal Transduction, Immune System and Inflammation, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus",D154
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION,GO:1904707,biological_process,GO:0008150,"Cell Cycle, System and Developmental Process, Signal Transduction, Response to Stimulus, Structural Stabilization",D154
GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL,GO:1904997,biological_process,GO:0008150,"Cell Adhesion and Interaction, Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION,,,,"System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Structural Stabilization",D154
GOBP_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,GO:1905048,biological_process,GO:0008150,"Signal Transduction, Response to Stimulus, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT,GO:1905205,biological_process,GO:0008150,"System and Developmental Process, Response to Stimulus, Cell Adhesion and Interaction, Structural Stabilization, Signal Transduction",D154
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,GO:0000380,biological_process,GO:0008150,"RNA Metabolism, Transcription and Translation Machinery, System and Developmental Process, Response to Stimulus, Epigenetic Regulation",D154
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,GO:0000381,biological_process,GO:0008150,"RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Response to Stimulus",D154
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES,GO:0000712,biological_process,GO:0008150,"System and Developmental Process, DNA Repair, Cell Cycle, Response to Stimulus, Transcription and Translation Machinery",D154
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY,GO:0000972,biological_process,GO:0008150,"Epigenetic Regulation, Transcription and Translation Machinery, Structural Stabilization, System and Developmental Process, Signal Transduction",D154
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH,GO:0001547,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Structural Stabilization, Reproductive System, Signal Transduction",D154
GOBP_FATTY_ACID_ALPHA_OXIDATION,GO:0001561,biological_process,GO:0008150,"Lipid Metabolism, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process",D154
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER,GO:0001704,biological_process,GO:0008150,"System and Developmental Process, Neurodevelopment and Neuronal Differentiation, Epigenetic Regulation, Cell Adhesion and Interaction, Signal Transduction",D154
GOBP_MESODERMAL_CELL_FATE_COMMITMENT,GO:0001710,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction, Structural Stabilization",D154
GOBP_ORGAN_INDUCTION,GO:0001759,biological_process,GO:0008150,"System and Developmental Process, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, Neurodevelopment and Neuronal Differentiation",D154
GOBP_MEMBRANE_RAFT_ASSEMBLY,GO:0001765,biological_process,GO:0008150,"Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Structural Stabilization, Molecular Transport and Homeostasis, Cell Adhesion and Interaction",D154
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS,GO:0001781,biological_process,GO:0008150,"Apoptosis, Immune System and Inflammation, Signal Transduction, System and Developmental Process, Response to Stimulus",D154
GOBP_SEROTONIN_SECRETION,GO:0001820,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Immune System and Inflammation",D154
GOBP_HISTAMINE_SECRETION,GO:0001821,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking",D154
GOBP_RESPONSE_TO_YEAST,GO:0001878,biological_process,GO:0008150,"Response to Stimulus, Immune System and Inflammation, Signal Transduction, Molecular Transport and Homeostasis, System and Developmental Process",D154
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,GO:0001937,biological_process,GO:0008150,"System and Developmental Process, Signal Transduction, Response to Stimulus, Cell Cycle, Cell Adhesion and Interaction",D154
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE,GO:0001993,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, Neurotransmission and Synaptic Regulation, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_HEART_RATE_BY_EPINEPHRINE_NOREPINEPHRINE,,,,"Signal Transduction, Response to Stimulus, System and Developmental Process, Neurotransmission and Synaptic Regulation, Molecular Transport and Homeostasis",D154
GOBP_RESPONSE_TO_DIETARY_EXCESS,GO:0002021,biological_process,GO:0008150,"Neurotransmission and Synaptic Regulation, Response to Stimulus, Mitochondrial Function and Metabolism, Signal Transduction, System and Developmental Process",D154
GOBP_DIET_INDUCED_THERMOGENESIS,GO:0002024,biological_process,GO:0008150,"Response to Stimulus, Signal Transduction, Mitochondrial Function and Metabolism, System and Developmental Process, Molecular Transport and Homeostasis",D154
GOBP_CHONDROCYTE_DEVELOPMENT,GO:0002063,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Structural Stabilization, Cell Adhesion and Interaction, Response to Stimulus",D154
GOBP_OSTEOCLAST_PROLIFERATION,GO:0002158,biological_process,GO:0008150,"Cell Cycle, System and Developmental Process, Immune System and Inflammation, Signal Transduction, Response to Stimulus",D154
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GO:0002274,biological_process,GO:0008150,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics",D154
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:0002292,biological_process,GO:0008150,"Immune System and Inflammation, System and Developmental Process, Signal Transduction, Cell Adhesion and Interaction, Response to Stimulus",D154
GOBP_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO:0002430,biological_process,GO:0008150,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, Cell Adhesion and Interaction, System and Developmental Process",D154
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,GO:0002503,biological_process,GO:0008150,"Immune System and Inflammation, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus",D154
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,GO:0002504,biological_process,GO:0008150,"Immune System and Inflammation, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus, Signal Transduction",D154
GOBP_ACUTE_INFLAMMATORY_RESPONSE,GO:0002526,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Molecular Transport and Homeostasis",D154
GOBP_MONOCYTE_CHEMOTAXIS,GO:0002548,biological_process,GO:0008150,"Immune System and Inflammation, Cell Adhesion and Interaction, Response to Stimulus, Signal Transduction, System and Developmental Process",D154
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,GO:0002675,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Autophagy",D154
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,GO:0002687,biological_process,GO:0008150,"Immune System and Inflammation, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus, System and Developmental Process",D154
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,,,,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis",D154
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,GO:0002709,biological_process,GO:0008150,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation",D154
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,GO:0002710,biological_process,GO:0008150,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction",D154
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,GO:0002820,biological_process,GO:0008150,"Immune System and Inflammation, Response to Stimulus, Signal Transduction, System and Developmental Process, Transcription and Translation Machinery",D154
GOBP_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,GO:0002825,,,"Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Transcription and Translation Machinery",D154
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM,GO:0003018,biological_process,GO:0008150,"System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Cell Adhesion and Interaction",D154
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL,GO:0003044,biological_process,GO:0008150,"Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Immune System and Inflammation, System and Developmental Process",D154
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE,GO:0003073,biological_process,GO:0008150,"Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction",D154
GOBP_HEART_FIELD_SPECIFICATION,GO:0003128,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction",D154
GOBP_SECONDARY_HEART_FIELD_SPECIFICATION,GO:0003139,biological_process,GO:0008150,"System and Developmental Process, Cell Cycle, Cell Adhesion and Interaction, Signal Transduction, Neurodevelopment and Neuronal Differentiation",D154
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION,GO:0003190,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Neurodevelopment and Neuronal Differentiation, Cell Adhesion and Interaction, Signal Transduction",D154
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS,GO:0003208,biological_process,GO:0008150,"System and Developmental Process, Structural Stabilization, Cell Adhesion and Interaction, Signal Transduction, Response to Stimulus",D154
GOBP_ENDOCARDIAL_CUSHION_FORMATION,GO:0003272,biological_process,GO:0008150,"System and Developmental Process, Cell Adhesion and Interaction, Structural Stabilization, Response to Stimulus, Signal Transduction",D154
