Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Autophagy, Response to Stimulus
GO Term: Gobp Protein Transport Within Lipid Bilayer -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Signal Transduction
GO Term: Gobp Interferon Alpha Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Transcription and Translation Machinery, Molecular Transport and Homeostasis
GO Term: Gobp Interferon Beta Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Transcription and Translation Machinery
GO Term: Gobp Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Response to Stimulus, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Interleukin 23 Production -> Biodomain: Immune System and Inflammation, Transcription and Translation Machinery, Protein Metabolism and Trafficking, Response to Stimulus, Signal Transduction
GO Term: Gobp Negative Regulation Of Interferon Beta Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Interleukin 17 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Response to Stimulus, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Interleukin 18 Production -> Biodomain: Immune System and Inflammation, Signal Transduction, Transcription and Translation Machinery, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Cell Adhesion and Interaction
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Lipid Metabolism
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Signal Transduction, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, Response to Stimulus, System and Developmental Process, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Signal Transduction, Cell Cycle, DNA Repair, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, DNA Repair, Cell Adhesion and Interaction
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Defense Response
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Vesicle-mediated Transport, Cellular Process
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic Regulation, Transcription and Translation Machinery
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Protein Metabolism and Trafficking, Signal Transduction, Response to Stimulus, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Cell Adhesion and Interaction, Intracellular Trafficking and Organelle Dynamics, Response to Stimulus
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: RNA Metabolism, Transcription and Translation Machinery, Epigenetic Regulation, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Transcription and Translation Machinery, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, System and Developmental Process, Structural Stabilization
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Epigenetic Regulation
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: System and Developmental Process, Molecular Transport and Homeostasis, Response to Stimulus, Signal Transduction, Intracellular Trafficking and Organelle Dynamics
Saved results to: Experiment/DeepSeek/02-FXS/02-Name_structure/Temp_0.0/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/02-Name_structure/Temp_0.0/runtime_log.csv
