Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 150 to 199
GO Term: Gobp Regulation Of Protein Stability -> Biodomain: Protein Metabolism and Trafficking, Autophagy, Apoptosis, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis
GO Term: Gobp Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune System and Inflammation, Signal Transduction, Cell Adhesion and Interaction, System and Developmental Process, Response to Stimulus
GO Term: Gobp Regulation Of Intracellular Protein Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, Response to Stimulus
GO Term: Gobp Adiponectin Activated Signaling Pathway -> Biodomain: Signal Transduction, Molecular Transport and Homeostasis, Lipid Metabolism, Mitochondrial Function and Metabolism, Immune System and Inflammation
GO Term: Gobp Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Signal Transduction, RNA Metabolism, Transcription and Translation Machinery
GO Term: Gobp Meiotic Cell Cycle Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, System and Developmental Process, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Mitotic Dna Replication Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, DNA Repair, Response to Stimulus, Molecular Transport and Homeostasis
GO Term: Gobp Unsaturated Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Function and Metabolism, Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus
GO Term: Gobp Protein Localization To Golgi Apparatus -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, System and Developmental Process, Signal Transduction
GO Term: Gobp Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, System and Developmental Process, DNA Repair, Transcription and Translation Machinery
GO Term: Gobp Toll Like Receptor 9 Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, System and Developmental Process, Molecular Transport and Homeostasis
GO Term: Gobp Response To Type Iii Interferon -> Biodomain: Immune System and Inflammation, Response to Stimulus, System and Developmental Process, Signal Transduction, Molecular Transport and Homeostasis
GO Term: Gobp Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Intracellular Trafficking and Organelle Dynamics, Mitochondrial Function and Metabolism, Structural Stabilization, Molecular Transport and Homeostasis
GO Term: Gobp Early Endosome To Golgi Transport -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Protein Metabolism and Trafficking, Lipid Metabolism, Signal Transduction
GO Term: Gobp Centromere Complex Assembly -> Biodomain: Cell Cycle, Epigenetic Regulation, Structural Stabilization, Protein Metabolism and Trafficking, System and Developmental Process
GO Term: Gobp Cellular Response To Heat -> Biodomain: Response to Stimulus, Signal Transduction, Protein Metabolism and Trafficking, Mitochondrial Function and Metabolism, System and Developmental Process
GO Term: Gobp Response To Endoplasmic Reticulum Stress -> Biodomain: Response to Stimulus, Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Signal Transduction, Autophagy
GO Term: Gobp Regulation Of Rho Protein Signal Transduction -> Biodomain: Signal Transduction, Intracellular Trafficking and Organelle Dynamics, Cell Adhesion and Interaction, Cell Cycle, Molecular Transport and Homeostasis
GO Term: Gobp Mirna Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Transcription and Translation Machinery, RNA Metabolism, Epigenetic Regulation, Protein Metabolism and Trafficking, Signal Transduction
GO Term: Gobp Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Molecular Transport and Homeostasis, Mitochondrial Function and Metabolism, Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking
GO Term: Gobp Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Mitochondrial Function and Metabolism, Immune System and Inflammation, Transcription and Translation Machinery
GO Term: Gobp Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Protein Metabolism and Trafficking, Intracellular Trafficking and Organelle Dynamics, Molecular Transport and Homeostasis, Structural Stabilization, System and Developmental Process
GO Term: Gobp Vesicle Cargo Loading -> Biodomain: Intracellular Trafficking and Organelle Dynamics, Protein Metabolism and Trafficking, Molecular Transport and Homeostasis, Signal Transduction, System and Developmental Process
GO Term: Gobp Trif Dependent Toll Like Receptor Signaling Pathway -> Biodomain: Immune System and Inflammation, Signal Transduction, Response to Stimulus, Molecular Transport and Homeostasis, System and Developmental Process
GO Term: Gobp Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Biological Regulation
GO Term: Gobp Positive Regulation Of Urine Volume -> Biodomain: Molecular Transport and Homeostasis, System and Developmental Process, Response to Stimulus, Signal Transduction, Structural Stabilization
Saved results to: Experiment/DeepSeek/02-FXS/02-Name_structure/Temp_0.9/go_biodomain_results_part_4.csv
Logged runtime to: Experiment/DeepSeek/02-FXS/02-Name_structure/Temp_0.9/runtime_log.csv
